59,2,event-CONTEXT-adviceacademic.png,Advice from academic,,Null,Null,p2:1:1,Null
60,2,event-CONTEXT-advicespecialist.png,Advice from specialist,,Null,Null,n30:1:2,Null
61,2,event-CONTEXT-bluescreen.png,Bluescreen!,,Null,!6,n0:3:2,Null
62,2,event-CONTEXT-distraction.png,Distraction!,,Null,!5,n0:2:2,n0:1:2
63,2,event-CONTEXT-distraction2.png,Distraction!,,Null,!5,n0:2:2,n0:1:2
64,2,event-CONTEXT-dotoomuch.png,Tried to do too much?,,Null,!13,n0:2:2,Null
65,2,event-CONTEXT-expertise.png,Expertise!,,(11+12):>=1,Null,s3:1:(2/3/4),Null
66,2,event-CONTEXT-greatresource.png,Great resource!,,Null,Null,p41:1:3,Null
67,2,event-CONTEXT-hasmybook.png,Someone has my library book!,,Null,!1,n(15/16/31):1:2,f1:1:1
68,2,event-CONTEXT-litreviewparadox.png,Lit review paradox,,Null,!13&!31:>1,o0:2:(3&4),Null
69,2,event-CONTEXT-loandelay.png,Interlibrary loan delay,,Null,!1,n(15/16/31):1:2,f1:1:1
70,2,event-CONTEXT-lostenthus.png,Lost enthusiasm,,Null,!4,n0:1:2,Null
71,2,event-CONTEXT-mentorleaves.png,Mentor leaves,,Null,Null,n7:<=9:1,Null
72,2,event-CONTEXT-multiperspective.png,Multiple perspectives,,(17+18+19+20+21+22+23+24+25+26+27+28):>=2,Null,i(79/101/121):1:(2/3/4),Null
73,2,event-CONTEXT-procrastinate.png,Procrastinate!,,Null,!5,n0:3:2,f5:1:1
74,2,event-CONTEXT-shoddynotes.png,Shoddy notes,,Null,!1,o0:2:(3&4),f1:1:1
75,2,event-CONTEXT-sick.png,Sick!,,Null,!1,n0:2:2,f1:1:1
76,2,event-CONTEXT-sisterwedding.png,Sister's wedding,,Null,!1,n0:1:2,f1:1:1
77,2,event-CONTEXT-sourcesfail.png,Evaluation of sources: fail!,,Null,Null,n0:2:2,Null
78,2,event-CONTEXT-sourceswin.png,Evaluation of sources: win!,,Null,Null,p31:1:2,Null
79,2,event-CONTEXT-tunnelvision.png,Tunnel vision,,Null,!7&!9&!13,n0:1:2,Null
80,2,event-CONTEXT-writersblock.png,Writer's block,,Null,!(5&7),o0:2:(3&4),Null
81,3,event-IMP-bluescreen.png,Bluescreen!,,Null,!6,n0:3:3,Null
82,3,event-IMP-brokenfridge.png,Broken fridge!,,Null,Null,n(37/38/39/40/42/45/46):3:3,Null
83,3,event-IMP-cantuseit.png,Can't use it?,,Null,!3,n41:1:3&n(17/18/19/20/21/22/23/24/25/26/27/28):1:2,Null
84,3,event-IMP-competition.png,Competition for resources,,Null,!41,n(42/45/46):1:3,Null
85,3,event-IMP-distraction.png,Distraction!,,Null,!5,n0:2:3,n0:1:3
86,3,event-IMP-dotoomuch.png,Tried to do too much?,,Null,!13,n0:2:3,Null
87,3,event-IMP-ethics.png,Ethics!,,Null,!2,n0:4:3,Null
88,3,event-IMP-fire.png,Fire!,,Null,Null,n(33/34/35/36/37/38/39/40/43/44/45/46):3,Null
89,3,event-IMP-flood.png,Flood!,,Null,Null,n41:1:3&n(42/45/46):2:3,Null
90,3,event-IMP-lostenthus.png,Lost enthusiasm,,Null,!4,n0:1:3,Null
91,3,event-IMP-metadatafail.png,Metadata fail!,,Null,!6,n(43/44):2:3,Null
92,3,event-IMP-philosophy.png,Philosophy,,Null,!3,n(45/46):1:3&n(43/44):1:3,Null
93,3,event-IMP-procrastinate.png,Procrastinate!,,Null,!5,n0:3:3,f5:1:1
